[07-Mar-2016 01:20:08 UTC] PHP Parse error:  syntax error, unexpected '::' (T_PAAMAYIM_NEKUDOTAYIM) in C:\Users\INIFAP\PhpstormProjects\FIFADEFINITIVO\app\Http\Controllers\FrontController.php on line 212
[07-Mar-2016 01:23:38 UTC] PHP Parse error:  syntax error, unexpected '::' (T_PAAMAYIM_NEKUDOTAYIM) in C:\Users\INIFAP\PhpstormProjects\FIFADEFINITIVO\app\Http\Controllers\FrontController.php on line 212
[07-Mar-2016 01:30:05 UTC] PHP Parse error:  syntax error, unexpected '{' in C:\Users\INIFAP\PhpstormProjects\FIFADEFINITIVO\storage\framework\views\bbb05e28d1f7ccf40ee78ca007caa175 on line 129
[07-Mar-2016 01:40:25 UTC] PHP Fatal error:  Class 'App\Http\Controllers\get' not found in C:\Users\INIFAP\PhpstormProjects\FIFADEFINITIVO\app\Http\Controllers\ClubesProController.php on line 143
[07-Mar-2016 02:09:28 UTC] PHP Parse error:  syntax error, unexpected 'endforeach' (T_ENDFOREACH) in C:\Users\INIFAP\PhpstormProjects\FIFADEFINITIVO\storage\framework\views\aa6162cef09e24ed4caff2ecf43d9da9 on line 163
[07-Mar-2016 02:09:38 UTC] PHP Parse error:  syntax error, unexpected 'endforeach' (T_ENDFOREACH) in C:\Users\INIFAP\PhpstormProjects\FIFADEFINITIVO\storage\framework\views\aa6162cef09e24ed4caff2ecf43d9da9 on line 163
[07-Mar-2016 02:09:51 UTC] PHP Parse error:  syntax error, unexpected 'endforeach' (T_ENDFOREACH) in C:\Users\INIFAP\PhpstormProjects\FIFADEFINITIVO\storage\framework\views\aa6162cef09e24ed4caff2ecf43d9da9 on line 157
[07-Mar-2016 02:10:01 UTC] PHP Parse error:  syntax error, unexpected 'endforeach' (T_ENDFOREACH) in C:\Users\INIFAP\PhpstormProjects\FIFADEFINITIVO\storage\framework\views\aa6162cef09e24ed4caff2ecf43d9da9 on line 157
[07-Mar-2016 02:10:59 UTC] PHP Parse error:  syntax error, unexpected 'endforeach' (T_ENDFOREACH) in C:\Users\INIFAP\PhpstormProjects\FIFADEFINITIVO\storage\framework\views\aa6162cef09e24ed4caff2ecf43d9da9 on line 165
[13-Mar-2016 04:31:03 UTC] PHP Parse error:  syntax error, unexpected '{', expecting '(' in C:\Users\INIFAP\PhpstormProjects\FIFADEFINITIVO\app\Http\Controllers\ClubesProController.php on line 168
[13-Mar-2016 04:31:07 UTC] PHP Parse error:  syntax error, unexpected '{', expecting '(' in C:\Users\INIFAP\PhpstormProjects\FIFADEFINITIVO\app\Http\Controllers\ClubesProController.php on line 168
[26-Mar-2016 04:38:33 UTC] PHP Parse error:  syntax error, unexpected '(' in C:\Users\INIFAP\PhpstormProjects\FIFADEFINITIVO\app\Http\Controllers\ClubesProController.php on line 212
[26-Mar-2016 05:25:54 UTC] PHP Fatal error:  Call to a member function update() on a non-object in C:\Users\INIFAP\PhpstormProjects\FIFADEFINITIVO\app\Http\Controllers\ClubesProController.php on line 219
[27-Mar-2016 01:15:52 UTC] PHP Parse error:  syntax error, unexpected end of file in C:\Users\INIFAP\PhpstormProjects\FIFADEFINITIVO\storage\framework\views\0746d64f4f8b11afd3a6a0d391bb5e7c9d08b973.php on line 134
